# T_e    E0
    0    -4.88200000
  100    -4.88193040
  200    -4.88174361
  300    -4.88138821
  400    -4.88091123
  500    -4.88033682
  600    -4.87966764
  700    -4.87890035
  800    -4.87803148
  900    -4.87705832
 1000    -4.87597854
 1100    -4.87478999
 1200    -4.87349064
 1300    -4.87207859
 1400    -4.87055209
 1500    -4.86890971
 1600    -4.86715013
 1700    -4.86527218
 1800    -4.86327476
 1900    -4.86115663
 2000    -4.85891627
 2500    -4.84579778
 3000    -4.82906934
 3500    -4.80776473
 4000    -4.78055368
 4500    -4.74608073
 5000    -4.70330957
10000    -3.84202857
